costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,fyear,at,ceq,ni,sale
A,USD,STD,INDL,C,AAPL,2020-09-30,001690,APPLE INC,2020,323888.0000,65339.0000,57411.0000,274515.0000
A,USD,STD,INDL,C,AAPL,2021-09-30,001690,APPLE INC,2021,351002.0000,63090.0000,94680.0000,365817.0000
A,USD,STD,INDL,C,AAPL,2022-09-30,001690,APPLE INC,2022,352755.0000,50672.0000,99803.0000,394328.0000
A,USD,STD,INDL,C,AAPL,2023-09-30,001690,APPLE INC,2023,352583.0000,62146.0000,96995.0000,383285.0000
A,USD,STD,INDL,C,AAPL,2024-09-30,001690,APPLE INC,2024,364980.0000,56950.0000,93736.0000,391035.0000
A,USD,STD,INDL,C,GOOGL,2020-12-31,160329,ALPHABET INC,2020,319616.0000,222544.0000,40269.0000,182527.0000
A,USD,STD,INDL,C,GOOGL,2021-12-31,160329,ALPHABET INC,2021,359268.0000,251635.0000,76033.0000,257637.0000
A,USD,STD,INDL,C,GOOGL,2022-12-31,160329,ALPHABET INC,2022,365264.0000,256144.0000,59972.0000,282836.0000
A,USD,STD,INDL,C,GOOGL,2023-12-31,160329,ALPHABET INC,2023,402392.0000,281079.0000,73795.0000,307394.0000
A,USD,STD,INDL,C,GOOGL,2024-12-31,160329,ALPHABET INC,2024,450256.0000,321984.0000,100118.0000,350018.0000
A,USD,STD,INDL,C,MSFT,2020-06-30,012141,MICROSOFT CORP,2020,301311.0000,118304.0000,44281.0000,143015.0000
A,USD,STD,INDL,C,MSFT,2021-06-30,012141,MICROSOFT CORP,2021,333779.0000,141988.0000,61271.0000,168088.0000
A,USD,STD,INDL,C,MSFT,2022-06-30,012141,MICROSOFT CORP,2022,364840.0000,166542.0000,72738.0000,198270.0000
A,USD,STD,INDL,C,MSFT,2023-06-30,012141,MICROSOFT CORP,2023,411976.0000,206223.0000,72361.0000,211915.0000
A,USD,STD,INDL,C,MSFT,2024-06-30,012141,MICROSOFT CORP,2024,512163.0000,268477.0000,88136.0000,245122.0000
A,USD,STD,INDL,C,NVDA,2020-01-31,117768,NVIDIA CORP,2019,17315.0000,12204.0000,2796.0000,10918.0000
A,USD,STD,INDL,C,NVDA,2021-01-31,117768,NVIDIA CORP,2020,28791.0000,16893.0000,4332.0000,16675.0000
A,USD,STD,INDL,C,NVDA,2022-01-31,117768,NVIDIA CORP,2021,44187.0000,26612.0000,9752.0000,26914.0000
A,USD,STD,INDL,C,NVDA,2023-01-31,117768,NVIDIA CORP,2022,41182.0000,22101.0000,4368.0000,26974.0000
A,USD,STD,INDL,C,NVDA,2024-01-31,117768,NVIDIA CORP,2023,65728.0000,42978.0000,29760.0000,60922.0000
